Problem,Vertices,Edges,Construction,Local Search Iteration,Local Search Best,Grasp Iteration,Grasp Best
G9,800,19176,Randomised4,176,1781,50,1873
G10,800,19176,Greedy,147,1746,50,1746
G10,800,19176,Greedy2,164,1763,50,1763
G10,800,19176,Greedy3,88,1769,50,1871
G10,800,19176,Semi-Greedy,143,1752,50,1846
G10,800,19176,Randomised,597,1779,50,1826
G10,800,19176,Randomised2,621,1737,50,1867
G10,800,19176,Randomised3,627,1740,50,1820
G10,800,19176,Randomised4,174,1742,50,1808
G11,800,1600,Greedy,16,464,50,464
G11,800,1600,Greedy2,14,476,50,476
G11,800,1600,Greedy3,5,491,50,508
G11,800,1600,Semi-Greedy,10,456,50,482
G11,800,1600,Randomised,189,426,50,430
G11,800,1600,Randomised2,181,427,50,450
G11,800,1600,Randomised3,198,431,50,454
G11,800,1600,Randomised4,17,445,50,470
G12,800,1600,Greedy,16,452,50,452
G12,800,1600,Greedy2,11,440,50,440
G12,800,1600,Greedy3,6,480,50,498
G12,800,1600,Semi-Greedy,12,447,50,470
G12,800,1600,Randomised,175,394,50,400
G12,800,1600,Randomised2,186,414,50,446
G12,800,1600,Randomised3,200,418,50,458
G12,800,1600,Randomised4,17,431,50,458
G13,800,1600,Greedy,26,468,50,468
G13,800,1600,Greedy2,17,472,50,472
G13,800,1600,Greedy3,5,505,50,522
G13,800,1600,Semi-Greedy,12,473,50,492
G13,800,1600,Randomised,196,438,50,446
G13,800,1600,Randomised2,186,443,50,474
G13,800,1600,Randomised3,201,441,50,468
G13,800,1600,Randomised4,18,454,50,474
G14,800,4694,Greedy,58,2966,50,2966
G14,800,4694,Greedy2,57,2934,50,2934
G14,800,4694,Greedy3,20,2973,50,2999
G14,800,4694,Semi-Greedy,28,2959,50,2977
G14,800,4694,Randomised,402,2931,50,2945
G14,800,4694,Randomised2,264,2921,50,2954
G14,800,4694,Randomised3,262,2922,50,2949
G14,800,4694,Randomised4,49,2938,50,2966
G15,800,4661,Greedy,43,2942,50,2942
G15,800,4661,Greedy2,43,2929,50,2929
G15,800,4661,Greedy3,23,2950,50,2980
G15,800,4661,Semi-Greedy,29,2943,50,2964
G15,800,4661,Randomised,362,2903,50,2906
G15,800,4661,Randomised2,270,2900,50,2937
G15,800,4661,Randomised3,265,2903,50,2929
G15,800,4661,Randomised4,52,2916,50,2949
G16,800,4672,Greedy,41,2938,50,2938
G16,800,4672,Greedy2,61,2932,50,2932
G16,800,4672,Greedy3,21,2954,50,2975
G16,800,4672,Semi-Greedy,29,2946,50,2972
G16,800,4672,Randomised,382,2908,50,2911
G16,800,4672,Randomised2,266,2911,50,2933
G16,800,4672,Randomised3,261,2910,50,2946
G16,800,4672,Randomised4,49,2924,50,2944
G17,800,4667,Greedy,63,2953,50,2953
G17,800,4667,Greedy2,52,2930,50,2930
G17,800,4667,Greedy3,24,2953,50,2969
G17,800,4667,Semi-Greedy,29,2941,50,2971
G17,800,4667,Randomised,369,2905,50,2913
G17,800,4667,Randomised2,269,2907,50,2931
G17,800,4667,Randomised3,265,2909,50,2943
G17,800,4667,Randomised4,52,2919,50,2941
G18,800,4694,Greedy,62,887,50,887
G18,800,4694,Greedy2,58,845,50,845
G18,800,4694,Greedy3,30,881,50,924
G18,800,4694,Semi-Greedy,53,855,50,901
G18,800,4694,Randomised,307,831,50,856
G18,800,4694,Randomised2,325,833,50,871
G18,800,4694,Randomised3,329,833,50,883
G18,800,4694,Randomised4,78,832,50,871
G19,800,4661,Greedy,44,753,50,753
G19,800,4661,Greedy2,79,731,50,731
G19,800,4661,Greedy3,32,792,50,823
G19,800,4661,Semi-Greedy,58,768,50,803
G19,800,4661,Randomised,319,762,50,778
G19,800,4661,Randomised2,328,750,50,803
G19,800,4661,Randomised3,333,746,50,786
G19,800,4661,Randomised4,79,746,50,790
G20,800,4672,Greedy,50,814,50,814
G20,800,4672,Greedy2,70,794,50,794
G20,800,4672,Greedy3,30,828,50,866
G20,800,4672,Semi-Greedy,52,794,50,871
G20,800,4672,Randomised,320,797,50,811
G20,800,4672,Randomised2,329,778,50,827
G20,800,4672,Randomised3,332,780,50,833
G20,800,4672,Randomised4,74,776,50,826
G21,800,4667,Greedy,43,779,50,779
G21,800,4667,Greedy2,61,790,50,790
G21,800,4667,Greedy3,30,815,50,860
G21,800,4667,Semi-Greedy,55,792,50,830
G21,800,4667,Randomised,328,769,50,794
G21,800,4667,Randomised2,328,769,50,810
G21,800,4667,Randomised3,344,770,50,813
G21,800,4667,Randomised4,80,771,50,811
G22,2000,19990,Greedy,273,12851,50,12851
G22,2000,19990,Greedy2,233,12771,50,12771
G22,2000,19990,Greedy3,94,12950,50,13033
G22,2000,19990,Semi-Greedy,173,12895,50,12994
G22,2000,19990,Randomised,1800,12874,50,12914
G22,2000,19990,Randomised2,1140,12820,50,12877
G22,2000,19990,Randomised3,1128,12816,50,12921
G22,2000,19990,Randomised4,250,12810,50,12877
G23,2000,19990,Greedy,205,12743,50,12743
G23,2000,19990,Greedy2,300,12844,50,12844
G23,2000,19990,Greedy3,96,12957,50,13054
G23,2000,19990,Semi-Greedy,165,12882,50,12976
G23,2000,19990,Randomised,1772,12760,50,12865
G23,2000,19990,Randomised2,1132,12814,50,12930
G23,2000,19990,Randomised3,1120,12813,50,12912
G23,2000,19990,Randomised4,252,12812,50,12886
G24,2000,19990,Greedy,266,12800,50,12800
G24,2000,19990,Greedy2,225,12843,50,12843
G24,2000,19990,Greedy3,94,12961,50,13031
G24,2000,19990,Semi-Greedy,175,12889,50,12983
G24,2000,19990,Randomised,1806,12832,50,12878
G24,2000,19990,Randomised2,1140,12826,50,12914
G24,2000,19990,Randomised3,1120,12822,50,12904
G24,2000,19990,Randomised4,249,12814,50,12913
G25,2000,19990,Greedy,241,12832,50,12832
G25,2000,19990,Greedy2,199,12801,50,12801
G25,2000,19990,Greedy3,92,12960,50,13041
G25,2000,19990,Semi-Greedy,164,12879,50,12956
G25,2000,19990,Randomised,1795,12783,50,12874
G25,2000,19990,Randomised2,1132,12817,50,12895
G25,2000,19990,Randomised3,1125,12823,50,12931
G25,2000,19990,Randomised4,253,12817,50,12912
G26,2000,19990,Greedy,251,12764,50,12764
G26,2000,19990,Greedy2,257,12897,50,12897
G26,2000,19990,Greedy3,96,12954,50,13012
G26,2000,19990,Semi-Greedy,173,12881,50,12964
G26,2000,19990,Randomised,1840,12810,50,12897
G26,2000,19990,Randomised2,1144,12809,50,12922
G26,2000,19990,Randomised3,1128,12815,50,12923
G26,2000,19990,Randomised4,254,12812,50,12933
G27,2000,19990,Greedy,314,2866,50,2866
G27,2000,19990,Greedy2,294,2855,50,2855
G27,2000,19990,Greedy3,133,2907,50,3002
G27,2000,19990,Semi-Greedy,216,2840,50,2918
G27,2000,19990,Randomised,1128,2851,50,2886
G27,2000,19990,Randomised2,1143,2814,50,2904
G27,2000,19990,Randomised3,1175,2810,50,2907
G27,2000,19990,Randomised4,274,2804,50,2889
G28,2000,19990,Greedy,277,2831,50,2831
G28,2000,19990,Greedy2,283,2813,50,2813
G28,2000,19990,Greedy3,129,2871,50,2953
G28,2000,19990,Semi-Greedy,209,2793,50,2887
G28,2000,19990,Randomised,1068,2792,50,2874
G28,2000,19990,Randomised2,1142,2780,50,2879
G28,2000,19990,Randomised3,1166,2779,50,2879
G28,2000,19990,Randomised4,272,2788,50,2874
G29,2000,19990,Greedy,250,2840,50,2840
G29,2000,19990,Greedy2,295,2941,50,2941
G29,2000,19990,Greedy3,131,2964,50,3085
G29,2000,19990,Semi-Greedy,215,2900,50,3045
G29,2000,19990,Randomised,1119,2850,50,2903
G29,2000,19990,Randomised2,1134,2879,50,2968
G29,2000,19990,Randomised3,1161,2876,50,2953
G29,2000,19990,Randomised4,266,2861,50,2936
G30,2000,19990,Greedy,230,2901,50,2901
G30,2000,19990,Greedy2,208,2883,50,2883
G30,2000,19990,Greedy3,132,2973,50,3097
G30,2000,19990,Semi-Greedy,214,2900,50,3005
G30,2000,19990,Randomised,1179,2851,50,2917
G30,2000,19990,Randomised2,1130,2872,50,2994
G30,2000,19990,Randomised3,1160,2881,50,2983
G30,2000,19990,Randomised4,271,2876,50,2968
G31,2000,19990,Greedy,218,2796,50,2796
G31,2000,19990,Greedy2,279,2772,50,2772
G31,2000,19990,Greedy3,130,2899,50,2976
G31,2000,19990,Semi-Greedy,216,2825,50,2931
G31,2000,19990,Randomised,1128,2817,50,2847
G31,2000,19990,Randomised2,1142,2798,50,2879
G31,2000,19990,Randomised3,1157,2784,50,2902
G31,2000,19990,Randomised4,267,2793,50,2872
G32,2000,4000,Greedy,68,1154,50,1154
G32,2000,4000,Greedy2,49,1150,50,1150
G32,2000,4000,Greedy3,12,1216,50,1246
G32,2000,4000,Semi-Greedy,30,1134,50,1172
G32,2000,4000,Randomised,460,1061,50,1068
G32,2000,4000,Randomised2,464,1058,50,1098
G32,2000,4000,Randomised3,502,1061,50,1096
G32,2000,4000,Randomised4,43,1101,50,1134
G33,2000,4000,Greedy,54,1114,50,1114
G33,2000,4000,Greedy2,49,1148,50,1148
G33,2000,4000,Greedy3,11,1206,50,1238
G33,2000,4000,Semi-Greedy,29,1109,50,1146
G33,2000,4000,Randomised,451,1004,50,1010
G33,2000,4000,Randomised2,469,1031,50,1060
G33,2000,4000,Randomised3,501,1042,50,1084
G33,2000,4000,Randomised4,40,1066,50,1104
G34,2000,4000,Greedy,72,1128,50,1128
G34,2000,4000,Greedy2,54,1122,50,1122
G34,2000,4000,Greedy3,13,1200,50,1228
G34,2000,4000,Semi-Greedy,30,1110,50,1156
G34,2000,4000,Randomised,466,1027,50,1034
G34,2000,4000,Randomised2,470,1030,50,1066
G34,2000,4000,Randomised3,498,1033,50,1088
G34,2000,4000,Randomised4,45,1066,50,1108
G35,2000,11778,Greedy,107,7392,50,7392
G35,2000,11778,Greedy2,133,7390,50,7390
G35,2000,11778,Greedy3,51,7447,50,7475
G35,2000,11778,Semi-Greedy,69,7423,50,7464
G35,2000,11778,Randomised,941,7329,50,7336
G35,2000,11778,Randomised2,665,7328,50,7375
G35,2000,11778,Randomised3,649,7323,50,7363
G35,2000,11778,Randomised4,126,7358,50,7408
G36,2000,11766,Greedy,122,7401,50,7401
G36,2000,11766,Greedy2,144,7344,50,7344
G36,2000,11766,Greedy3,53,7438,50,7474
G36,2000,11766,Semi-Greedy,70,7420,50,7468
G36,2000,11766,Randomised,994,7288,50,7301
G36,2000,11766,Randomised2,670,7319,50,7366
G36,2000,11766,Randomised3,657,7320,50,7365
G36,2000,11766,Randomised4,124,7352,50,7398
G37,2000,11785,Greedy,118,7425,50,7425
G37,2000,11785,Greedy2,121,7355,50,7355
G37,2000,11785,Greedy3,52,7446,50,7477
G37,2000,11785,Semi-Greedy,72,7432,50,7470
G37,2000,11785,Randomised,959,7317,50,7323
G37,2000,11785,Randomised2,668,7328,50,7368
G37,2000,11785,Randomised3,658,7326,50,7366
G37,2000,11785,Randomised4,128,7366,50,7434
G38,2000,11779,Greedy,126,7397,50,7397
G38,2000,11779,Greedy2,126,7362,50,7362
G38,2000,11779,Greedy3,55,7447,50,7492
G38,2000,11779,Semi-Greedy,70,7426,50,7477
G38,2000,11779,Randomised,953,7319,50,7324
G38,2000,11779,Randomised2,666,7323,50,7374
G38,2000,11779,Randomised3,650,7325,50,7383
G38,2000,11779,Randomised4,126,7358,50,7387
G39,2000,11778,Greedy,134,2139,50,2139
G39,2000,11778,Greedy2,144,2003,50,2003
G39,2000,11778,Greedy3,74,2133,50,2181
G39,2000,11778,Semi-Greedy,142,2058,50,2114
G39,2000,11778,Randomised,775,1952,50,2022
G39,2000,11778,Randomised2,807,2002,50,2076
G39,2000,11778,Randomised3,840,2015,50,2081
G39,2000,11778,Randomised4,194,2014,50,2087
G40,2000,11766,Greedy,117,2039,50,2039
G40,2000,11766,Greedy2,149,2045,50,2045
G40,2000,11766,Greedy3,75,2121,50,2173
G40,2000,11766,Semi-Greedy,139,2041,50,2100
G40,2000,11766,Randomised,801,1970,50,2015
G40,2000,11766,Randomised2,834,1993,50,2056
G40,2000,11766,Randomised3,848,2001,50,2051
G40,2000,11766,Randomised4,198,1983,50,2037
G41,2000,11785,Greedy,127,2036,50,2036
G41,2000,11785,Greedy2,182,2018,50,2018
G41,2000,11785,Greedy3,71,2122,50,2185
G41,2000,11785,Semi-Greedy,134,2049,50,2135
G41,2000,11785,Randomised,839,2001,50,2016
G41,2000,11785,Randomised2,821,2000,50,2075
G41,2000,11785,Randomised3,827,1996,50,2063
G41,2000,11785,Randomised4,192,1984,50,2078
G42,2000,11779,Greedy,121,2138,50,2138
G42,2000,11779,Greedy2,161,2022,50,2022
G42,2000,11779,Greedy3,71,2197,50,2247
G42,2000,11779,Semi-Greedy,143,2129,50,2210
G42,2000,11779,Randomised,833,2073,50,2083
G42,2000,11779,Randomised2,818,2074,50,2155
G42,2000,11779,Randomised3,829,2079,50,2152
G42,2000,11779,Randomised4,195,2067,50,2184
G43,1000,9990,Greedy,136,6439,50,6439
G43,1000,9990,Greedy2,120,6440,50,6440
G43,1000,9990,Greedy3,50,6456,50,6504
G43,1000,9990,Semi-Greedy,87,6432,50,6485
G43,1000,9990,Randomised,928,6424,50,6428
G43,1000,9990,Randomised2,572,6401,50,6469
G43,1000,9990,Randomised3,560,6401,50,6496
G43,1000,9990,Randomised4,126,6395,50,6458
G44,1000,9990,Greedy,124,6356,50,6356
G44,1000,9990,Greedy2,122,6397,50,6397
G44,1000,9990,Greedy3,47,6463,50,6506
G44,1000,9990,Semi-Greedy,87,6428,50,6503
G44,1000,9990,Randomised,907,6434,50,6446
G44,1000,9990,Randomised2,561,6401,50,6461
G44,1000,9990,Randomised3,557,6399,50,6458
G44,1000,9990,Randomised4,132,6403,50,6462
G45,1000,9990,Greedy,93,6361,50,6361
G45,1000,9990,Greedy2,116,6390,50,6390
G45,1000,9990,Greedy3,46,6458,50,6524
G45,1000,9990,Semi-Greedy,80,6429,50,6472
G45,1000,9990,Randomised,882,6365,50,6418
G45,1000,9990,Randomised2,563,6398,50,6462
G45,1000,9990,Randomised3,558,6393,50,6448
G45,1000,9990,Randomised4,128,6397,50,6457
G46,1000,9990,Greedy,142,6396,50,6396
G46,1000,9990,Greedy2,120,6422,50,6422
G46,1000,9990,Greedy3,51,6469,50,6509
G46,1000,9990,Semi-Greedy,83,6426,50,6477
G46,1000,9990,Randomised,920,6367,50,6417
G46,1000,9990,Randomised2,562,6396,50,6474
G46,1000,9990,Randomised3,558,6398,50,6456
G46,1000,9990,Randomised4,123,6390,50,6458
G47,1000,9990,Greedy,142,6391,50,6391
G47,1000,9990,Greedy2,129,6433,50,6433
G47,1000,9990,Greedy3,49,6472,50,6525
G47,1000,9990,Semi-Greedy,84,6434,50,6491
G47,1000,9990,Randomised,936,6403,50,6440
G47,1000,9990,Randomised2,574,6400,50,6454
G47,1000,9990,Randomised3,570,6407,50,6474
G47,1000,9990,Randomised4,128,6398,50,6444
G48,3000,6000,Greedy,1,6000,50,6000
G48,3000,6000,Greedy2,1,6000,50,6000
G48,3000,6000,Greedy3,1,6000,50,6000
G48,3000,6000,Semi-Greedy,1,6000,50,6000
G48,3000,6000,Randomised,1608,5995,50,6000
G48,3000,6000,Randomised2,841,5025,50,5098
G48,3000,6000,Randomised3,832,5011,50,5098
G48,3000,6000,Randomised4,75,5077,50,5170
G49,3000,6000,Greedy,1,6000,50,6000
G49,3000,6000,Greedy2,1,6000,50,6000
G49,3000,6000,Greedy3,1,6000,50,6000
G49,3000,6000,Semi-Greedy,1,6000,50,6000
G49,3000,6000,Randomised,1628,5991,50,6000
G49,3000,6000,Randomised2,834,5006,50,5084
G49,3000,6000,Randomised3,836,5010,50,5130
G49,3000,6000,Randomised4,75,5074,50,5180
G50,3000,6000,Greedy,1,5854,50,5854
G50,3000,6000,Greedy2,1,5880,50,5880
G50,3000,6000,Greedy3,1,5880,50,5880
G50,3000,6000,Semi-Greedy,2,5842,50,5856
G50,3000,6000,Randomised,1639,5872,50,5878
G50,3000,6000,Randomised2,832,4998,50,5076
G50,3000,6000,Randomised3,829,5000,50,5102
G50,3000,6000,Randomised4,75,5071,50,5148
G51,1000,5909,Greedy,50,3726,50,3726
G51,1000,5909,Greedy2,64,3689,50,3689
G51,1000,5909,Greedy3,26,3729,50,3753
G51,1000,5909,Semi-Greedy,35,3719,50,3745
G51,1000,5909,Randomised,455,3653,50,3658
G51,1000,5909,Randomised2,335,3672,50,3696
G51,1000,5909,Randomised3,328,3667,50,3703
G51,1000,5909,Randomised4,63,3681,50,3720
G52,1000,5916,Greedy,64,3730,50,3730
G52,1000,5916,Greedy2,65,3694,50,3694
G52,1000,5916,Greedy3,28,3736,50,3771
G52,1000,5916,Semi-Greedy,36,3725,50,3749
G52,1000,5916,Randomised,482,3665,50,3676
G52,1000,5916,Randomised2,338,3676,50,3700
G52,1000,5916,Randomised3,327,3677,50,3702
G52,1000,5916,Randomised4,62,3692,50,3717
G53,1000,5914,Greedy,56,3729,50,3729
G53,1000,5914,Greedy2,66,3716,50,3716
G53,1000,5914,Greedy3,26,3733,50,3755
G53,1000,5914,Semi-Greedy,35,3724,50,3744
G53,1000,5914,Randomised,491,3669,50,3671
G53,1000,5914,Randomised2,340,3673,50,3704
G53,1000,5914,Randomised3,322,3671,50,3699
G53,1000,5914,Randomised4,62,3689,50,3713
G54,1000,5916,Greedy,53,3726,50,3726
G54,1000,5916,Greedy2,56,3693,50,3693
G54,1000,5916,Greedy3,26,3730,50,3755
G54,1000,5916,Semi-Greedy,34,3721,50,3740
G54,1000,5916,Randomised,495,3663,50,3676
G54,1000,5916,Randomised2,334,3673,50,3707
G54,1000,5916,Randomised3,325,3669,50,3695
G54,1000,5916,Randomised4,62,3690,50,3727
